Id,Name,Alignment,Gender,Eyecolor,Race,Haircolor,Publisher,Skincolor,Height,Weight,Number,Intelligence,Strength,Speed,Durability,Power,Combat,Total
505,Plantman,bad,Male,green,Mutant,Grey,Marvel Comics,-,183,87,1011781,-,-,-,-,-,-,-
506,Plastic Lad,good,Male,-,-,-,DC Comics,-,-99,-99,1011782,1,1,1,1,0,1,5
507,Plastic Man,good,Male,blue,Human,Black,DC Comics,-,185,80,1011783,50,63,23,100,100,56,392
508,Plastique,bad,Female,blue,-,Red,DC Comics,-,168,55,1011784,50,10,23,28,60,42,213
509,Poison Ivy,bad,Female,green,Human,Red,DC Comics,green,168,50,1011785,69,14,23,14,71,36,227
510,Polaris,good,Female,green,Mutant,Green,Marvel Comics,-,170,52,1009499,-,-,-,-,-,-,-
511,Power Girl,good,Female,blue,Kryptonian,blond,DC Comics,-,180,81,1011786,88,98,67,95,67,75,490
512,Power Man,good,Male,-,Mutant,-,Marvel Comics,-,-99,-99,1011787,1,1,1,1,0,1,5
513,Predator,bad,Male,-,Yautja,-,Dark Horse Comics,-,213,234,1011788,-,-,-,-,-,-,-
514,Professor X,good,Male,blue,Mutant,No Hair,Marvel Comics,-,183,86,1009504,100,8,12,14,90,32,256
515,Professor Zoom,bad,Male,blue,Human,Strawberry Blond,DC Comics,-,180,81,1011789,-,-,-,-,-,-,-
516,Proto-Goblin,bad,Male,green,-,Blond,Marvel Comics,-,-99,-99,1011790,63,38,23,48,22,28,222
517,Psylocke,good,Female,blue,Mutant,Purple,Marvel Comics,-,180,70,1009512,1,1,1,1,0,1,5
518,Punisher,good,Male,blue,Human,Black,Marvel Comics,-,183,90,1009515,50,16,23,28,22,100,239
519,Purple Man,bad,Male,purple,Human,Purple,Marvel Comics,purple,180,74,1009520,-,-,-,-,-,-,-
520,Pyro,bad,Male,blue,-,Blond,Marvel Comics,-,178,68,1009522,38,10,12,14,50,28,152
521,Q,-,Male,-,God / Eternal,-,Star Trek,-,-99,-99,1011791,-,-,-,-,-,-,-
522,Quantum,good,Male,-,-,-,HarperCollins,-,-99,-99,1011792,1,1,1,1,0,1,5
523,Question,good,Male,blue,Human,Blond,DC Comics,-,188,83,1011793,81,14,27,35,20,80,257
524,Quicksilver,good,Male,blue,Mutant,Silver,Marvel Comics,-,183,79,1009524,63,28,100,60,57,56,364
525,Quill,good,Male,brown,-,Brown,Marvel Comics,-,163,56,1011794,38,10,12,14,23,14,111
526,Ra's Al Ghul,bad,Male,green,Human,Grey,DC Comics,-,193,97,1011795,100,28,32,42,27,100,329
527,Rachel Pirzad,good,Female,-,Alpha,-,SyFy,-,-99,-99,1011796,63,4,8,10,52,10,147
528,Rambo,good,Male,brown,Human,Black,,-,178,83,1011797,-,-,-,-,-,-,-
529,Raphael,good,Male,-,Mutant,No Hair,IDW Publishing,green,-99,-99,1011798,-,-,-,-,-,-,-
530,Raven,neutral,Female,indigo,Human,Black,DC Comics,-,165,50,1011799,50,10,29,70,62,40,261
531,Ray,good,Male,green,Human,Red,DC Comics,-,178,70,1011800,-,-,-,-,-,-,-
532,Razor-Fist II,bad,Male,blue,-,No Hair,Marvel Comics,-,191,117,1011801,1,1,1,1,0,1,5
533,Red Arrow,good,Male,green,Human,Red,DC Comics,-,180,83,1011802,63,16,25,20,24,80,228
534,Red Hood,neutral,Male,blue,Human,Black,DC Comics,-,183,81,1011803,75,12,23,28,24,95,257
535,Red Hulk,neutral,Male,yellow,Human / Radiation,Black,Marvel Comics,red,213,630,1011360,50,88,47,95,59,75,414
536,Red Mist,bad,Male,-,-,-,Icon Comics,-,-99,-99,1011804,25,10,23,14,20,56,148
537,Red Robin,good,Male,blue,Human,Black,DC Comics,-,165,56,1011805,81,11,27,32,29,80,260
538,Red Skull,bad,Male,blue,-,No Hair,Marvel Comics,-,188,108,1009535,75,10,12,14,19,80,210
539,Red Tornado,good,Male,green,Android,No Hair,DC Comics,-,185,146,1011806,75,38,67,60,92,40,372
540,Redeemer II,bad,Male,-,-,-,Image Comics,-,-99,-99,1011807,1,1,1,1,0,1,5
541,Redeemer III,bad,Male,-,-,-,Image Comics,-,-99,-99,1011808,1,1,1,1,0,1,5
542,Renata Soliz,good,Female,-,-,-,HarperCollins,-,-99,-99,1011809,1,1,1,1,0,1,5
543,Rey,good,Female,hazel,Human,Brown,George Lucas,-,297,-99,1011810,-,-,-,-,-,-,-
544,Rhino,bad,Male,brown,Human / Radiation,Brown,Marvel Comics,-,196,320,1009537,25,80,43,90,37,85,360
545,Rick Flag,bad,Male,blue,-,Brown,DC Comics,-,185,85,1011811,88,11,23,28,19,95,264
546,Riddler,bad,Male,-,-,-,DC Comics,-,-99,-99,1011812,100,10,12,14,10,14,160
547,Rip Hunter,good,Male,blue,Human,Blond,DC Comics,-,-99,-99,1011813,-,-,-,-,-,-,-
548,Ripcord,good,Female,green,-,Black,Marvel Comics,-,180,72,1011814,1,1,1,1,0,1,5
549,Robin,good,Male,blue,Human,Black,DC Comics,-,178,79,1011815,-,-,-,-,-,-,-
550,Robin II,good,Male,blue,Human,Red,DC Comics,-,183,101,1011816,1,1,1,1,0,1,5
551,Robin III,good,Male,blue,Human,Black,DC Comics,-,165,56,1011817,81,11,27,28,30,85,262
552,Robin V,good,Male,blue,Human,Black,DC Comics,-,137,38,1011818,69,8,33,16,29,65,220
553,Robin VI,neutral,Female,green,Human,Red,DC Comics,-,-99,-99,1011819,-,-,-,-,-,-,-
554,Rocket Raccoon,good,Male,brown,Animal,Brown,Marvel Comics,-,122,25,1010744,50,5,23,28,28,64,198
555,Rogue,good,Female,green,-,Brown / White,Marvel Comics,-,173,54,1009546,75,10,12,28,80,80,285
556,Ronin,good,Male,blue,Human,Blond,Marvel Comics,-,191,104,1011820,38,10,27,32,21,90,218
557,Rorschach,good,Male,blue,Human,Red,DC Comics,-,168,63,1011821,75,10,29,20,23,80,237
558,Sabretooth,bad,Male,amber,Mutant,Blond,Marvel Comics,-,198,171,1009554,55,53,25,90,28,100,351
559,Sage,good,Female,blue,-,Black,Marvel Comics,-,170,61,1009555,75,10,12,14,28,56,195
560,Sandman,neutral,Male,brown,Human,Brown,Marvel Comics,-,185,203,1009558,50,75,47,97,62,56,387
561,Sasquatch,good,Male,red,-,Orange,Marvel Comics,-,305,900,1011822,75,80,23,56,15,42,291
562,Sauron,bad,Male,-,Maiar,-,J. R. R. Tolkien,-,279,-99,1009561,-,-,-,-,-,-,-
563,Savage Dragon,good,Male,-,-,-,Image Comics,-,-99,-99,1011823,63,70,54,85,49,72,393
564,Scarecrow,bad,Male,blue,Human,Brown,DC Comics,-,183,63,1011824,81,10,12,14,48,50,215
565,Scarlet Spider,good,Male,blue,Human,Blond,Marvel Comics,-,178,74,1011825,75,53,60,74,39,56,357
566,Scarlet Spider II,good,Male,brown,Clone,Brown,Marvel Comics,-,193,113,1011826,88,55,60,40,30,56,329
567,Scarlet Witch,bad,Female,blue,Mutant,Brown,Marvel Comics,-,170,59,1009562,88,10,23,42,67,28,258
568,Scorpia,bad,Female,green,-,Red,Marvel Comics,-,-99,-99,1011827,38,28,42,28,34,28,198
569,Scorpion,bad,Male,brown,Human,Brown,Marvel Comics,-,211,310,1011828,50,52,60,85,49,80,376
570,Sebastian Shaw,bad,Male,-,Mutant,-,Marvel Comics,-,-99,-99,1009581,-,-,-,-,-,-,-
571,Sentry,neutral,Male,blue,Mutant,Blond,Marvel Comics,-,188,87,1011829,75,80,58,84,97,54,448
572,Shadow King,good,-,red,-,-,Marvel Comics,-,185,149,1009573,75,12,27,100,100,75,389
573,Shadow Lass,good,Female,black,Talokite,Black,DC Comics,blue,173,54,1011830,-,-,-,-,-,-,-
574,Shadowcat,good,Female,hazel,Mutant,Brown,Marvel Comics,-,168,50,1009574,88,8,21,25,69,70,281
575,Shang-Chi,good,Male,brown,Human,Black,Marvel Comics,-,178,79,1009577,63,12,30,50,25,100,280
576,Shatterstar,good,Male,brown,-,Red,Marvel Comics,-,191,88,1009580,63,48,45,64,42,84,346
577,She-Hulk,good,Female,green,Human,Green,Marvel Comics,-,201,315,1011831,69,100,42,100,33,70,414
578,She-Thing,good,Female,blue,Human / Radiation,No Hair,Marvel Comics,-,183,153,1011832,1,1,1,1,0,1,5
579,Shocker,bad,Male,brown,Human,Brown,Marvel Comics,-,175,79,1011833,63,10,23,70,63,56,285
580,Shriek,good,Female,yellow / blue,-,Black,Marvel Comics,-,173,52,1009587,50,10,23,28,45,42,198
581,Shrinking Violet,good,Female,-,-,-,DC Comics,-,-99,-99,1011834,1,1,1,1,0,1,5
582,Sif,good,Female,blue,Asgardian,Black,Marvel Comics,-,188,191,1009588,50,57,25,52,19,70,273
583,Silk,good,Female,brown,Human,Black,Marvel Comics,-,-99,-99,1011835,-,-,-,-,-,-,-
584,Silk Spectre,good,Female,-,-,-,DC Comics,-,-99,-99,1011836,-,-,-,-,-,-,-
585,Silk Spectre II,good,Female,-,-,-,DC Comics,-,-99,-99,1011837,1,1,1,1,0,1,5
586,Silver Surfer,good,Male,white,Alien,No Hair,Marvel Comics,silver,193,101,1009592,63,100,84,101,100,32,480
587,Silverclaw,good,Female,brown,-,Black,Marvel Comics,-,157,50,1010864,50,28,35,42,34,42,231
588,Simon Baz,good,Male,bown,Human,Black,DC Comics,-,-99,-99,1011838,-,-,-,-,-,-,-
589,Sinestro,neutral,Male,black,Korugaran,Black,DC Comics,red,201,92,1011839,75,80,53,64,100,56,428
590,Siren,bad,Female,blue,Atlantean,Purple,DC Comics,-,175,72,1011840,38,10,12,14,55,28,157
591,Siren II,bad,Female,black,-,-,DC Comics,-,-99,-99,1011841,1,1,1,1,0,1,5
592,Siryn,bad,Female,blue,-,Strawberry Blond,Marvel Comics,-,168,52,1011842,38,8,47,28,50,42,213
593,Skaar,good,Male,green,-,Black,Marvel Comics,-,198,180,1011223,50,85,27,90,62,85,399
594,Snake-Eyes,bad,Male,-,Animal,-,Marvel Comics,-,-99,-99,1011843,-,-,-,-,-,-,-
595,Snowbird,good,Female,white,-,Blond,Marvel Comics,-,178,49,1009606,50,32,27,42,63,52,266
596,Sobek,good,Male,white,-,No Hair,DC Comics,-,-99,-99,1011844,50,34,23,46,20,56,229
597,Solomon Grundy,bad,Male,black,Zombie,White,DC Comics,-,279,437,1011845,9,93,13,100,78,30,323
598,Songbird,good,Female,green,-,Red / White,Marvel Comics,-,165,65,1010693,75,36,27,42,55,56,291
599,Space Ghost,good,Male,-,Human,-,DC Comics,-,188,113,1011846,38,18,33,40,90,80,299
600,Spawn,good,Male,brown,Demon,Black,Image Comics,-,211,405,1011847,75,60,50,90,100,95,470
601,Spectre,good,Male,white,God / Eternal,No Hair,DC Comics,white,-99,-99,1011848,1,1,1,1,0,1,5
602,Speedball,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011849,1,1,1,1,0,1,5
603,Speedy,good,Male,-,Human,-,DC Comics,-,-99,-99,1011850,1,1,1,1,0,1,5
604,Spider-Carnage,bad,Male,-,Symbiote,-,Marvel Comics,-,-99,-99,1011851,1,1,1,1,0,1,5
605,Spider-Girl,good,Female,blue,Human,Brown,Marvel Comics,-,170,54,1011852,63,38,60,65,46,75,347
606,Spider-Gwen,good,Female,blue,Human,Blond,Marvel Comics,-,165,56,1011853,-,-,-,-,-,-,-
607,Spider-Man,good,Male,hazel,Human,Brown,Marvel Comics,-,178,74,1009610,88,55,60,74,58,85,420
608,Spider-Woman,good,Female,green,Human,Black,Marvel Comics,-,178,59,1011854,50,42,42,32,62,52,280
609,Spider-Woman II,good,Female,-,-,-,Marvel Comics,-,-99,-99,1011855,1,1,1,1,0,1,5
610,Spider-Woman III,good,Female,brown,-,Brown,Marvel Comics,-,173,55,1011856,50,48,27,42,60,28,255
611,Spider-Woman IV,bad,Female,red,-,White,Marvel Comics,-,178,58,1011857,1,1,1,1,0,1,5
612,Spock,good,Male,brown,Human-Vulcan,Black,Star Trek,-,185,81,1011858,-,-,-,-,-,-,-
613,Spyke,good,Male,brown,Mutant,Blond,Marvel Comics,-,183,83,1011859,50,12,17,60,41,30,210
614,Stacy X,good,Female,-,-,-,Marvel Comics,-,-99,-99,1009618,1,1,1,1,0,1,5
615,Star-Lord,good,Male,blue,Human-Spartoi,Blond,Marvel Comics,-,188,79,1011860,-,-,-,-,-,-,-
616,Stardust,good,Male,-,-,-,Marvel Comics,-,-99,-99,1010764,88,85,100,110,100,85,568
617,Starfire,good,Female,green,Tamaranean,Auburn,DC Comics,orange,193,71,1011861,50,80,33,85,59,70,377
618,Stargirl,good,Female,blue,Human,Blond,DC Comics,-,165,62,1011862,50,40,27,90,71,56,334
619,Static,good,Male,brown,Mutant,Black,DC Comics,-,170,63,1011863,-,-,-,-,-,-,-
620,Steel,good,Male,brown,-,No Hair,DC Comics,-,201,131,1011864,81,82,53,90,64,64,434
621,Stephanie Powell,good,Female,-,-,Blond,ABC Studios,-,-99,-99,1011865,69,10,54,10,17,10,170
622,Steppenwolf,bad,Male,red,New God,Black,DC Comics,white,183,91,1011866,-,-,-,-,-,-,-
623,Storm,good,Female,blue,Mutant,White,Marvel Comics,-,180,57,1009629,75,10,47,30,88,75,325
624,Stormtrooper,bad,Male,-,Human,-,George Lucas,-,183,-99,1011867,-,-,-,-,-,-,-
625,Sunspot,good,Male,brown,Mutant,black,Marvel Comics,-,173,77,1009638,63,63,35,25,79,70,335
626,Superboy,good,Male,blue,-,Black,DC Comics,-,170,68,1011868,75,95,83,90,84,60,487
627,Superboy-Prime,bad,Male,blue,Kryptonian,Black / Blue,DC Comics,-,180,77,1011869,94,100,100,100,100,85,579
628,Supergirl,good,Female,blue,Kryptonian,Blond,DC Comics,-,165,54,1011870,94,98,92,100,85,75,544
629,Superman,good,Male,blue,Kryptonian,Black,DC Comics,-,191,101,1011871,100,100,100,100,94,85,579
630,Swamp Thing,bad,Male,red,God / Eternal,No Hair,DC Comics,green,-99,-99,1011872,88,80,23,100,66,56,413
631,Swarm,bad,Male,yellow,Mutant,No Hair,Marvel Comics,yellow,196,47,1011075,-,-,-,-,-,-,-
632,Sylar,bad,Male,-,-,-,NBC - Heroes,-,-99,-99,1011873,75,10,12,28,91,56,272
633,Synch,good,Male,brown,-,Black,Marvel Comics,-,180,74,1009643,75,67,23,28,74,56,323
634,T-1000,bad,Male,-,Android,-,Dark Horse Comics,silver,183,146,1011874,-,-,-,-,-,-,-
635,T-800,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99,176,1011875,-,-,-,-,-,-,-
636,T-850,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99,198,1011876,-,-,-,-,-,-,-
637,T-X,bad,Female,-,Cyborg,-,Dark Horse Comics,silver,-99,149,1011877,-,-,-,-,-,-,-
638,Taskmaster,bad,Male,brown,Human,Brown,Marvel Comics,-,188,99,1009648,-,-,-,-,-,-,-
639,Tempest,good,Female,brown,-,Black,Marvel Comics,-,163,54,1009650,38,10,45,28,62,60,243
640,Thanos,bad,Male,red,Eternal,No Hair,Marvel Comics,purple,201,443,1009652,88,100,17,100,100,80,485
641,The Cape,good,Male,-,-,-,,-,-99,-99,1011878,38,10,23,32,22,64,189
642,The Comedian,neutral,Male,brown,Human,Black,DC Comics,-,188,101,1011879,63,14,17,10,12,80,196
643,Thing,good,Male,blue,Human / Radiation,No Hair,Marvel Comics,-,183,225,1009662,75,84,21,90,26,80,376
644,Thor,good,Male,blue,Asgardian,Blond,Marvel Comics,-,198,288,1009664,69,100,92,100,100,85,546
645,Thor Girl,good,Female,blue,Asgardian,Blond,Marvel Comics,-,175,143,1010820,75,83,70,84,100,70,482
646,Thunderbird,good,Male,brown,-,Black,Marvel Comics,-,185,101,1011880,50,32,27,32,14,70,225
647,Thunderbird II,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011881,1,1,1,1,0,1,5
648,Thunderbird III,good,Male,brown,-,Black,Marvel Comics,-,175,74,1011882,1,1,1,1,0,1,5
649,Thunderstrike,good,Male,blue,-,Blond,Marvel Comics,-,198,288,1011883,63,80,70,84,31,72,400
650,Thundra,good,Female,green,-,Red,Marvel Comics,-,218,158,1011304,38,81,32,64,26,54,295
651,Tiger Shark,bad,Male,grey,Human,No Hair,Marvel Comics,grey,185,203,1009669,38,72,42,70,21,28,271
652,Tigra,good,Female,green,-,Auburn,Marvel Comics,-,178,81,1011884,63,32,53,38,33,90,309
653,Tinkerer,bad,Male,brown,-,White,Marvel Comics,-,163,54,1011345,100,10,23,14,10,14,171
654,Titan,good,Male,-,-,-,HarperCollins,-,-99,-99,1011885,1,1,1,1,0,1,5
655,Toad,neutral,Male,black,Mutant,Brown,Marvel Comics,green,175,76,1009673,50,34,58,56,49,28,275
656,Toxin,good,Male,blue,Symbiote,Brown,Marvel Comics,-,188,97,1009676,56,73,70,84,75,70,428
657,Tracy Strauss,good,Female,-,-,-,NBC - Heroes,-,-99,-99,1011886,1,1,1,1,0,1,5
658,Trickster,-,Male,blue,Human,Blond,DC Comics,-,183,81,1011887,1,1,1,1,0,1,5
659,Trigon,bad,Male,yellow,God / Eternal,Black,DC Comics,red,-99,-99,1011888,-,-,-,-,-,-,-
660,Triplicate Girl,good,Female,purple,-,Brown,DC Comics,-,168,59,1011889,63,10,23,42,44,42,224
661,Triton,good,Male,green,Inhuman,No Hair,Marvel Comics,green,188,86,1010335,-,-,-,-,-,-,-
662,Two-Face,bad,Male,-,-,-,DC Comics,-,183,82,1011890,88,10,12,14,9,28,161
663,Ultragirl,good,Female,blue,-,Blond,Marvel Comics,-,168,105,1011891,50,80,35,70,35,80,350
664,Ultron,bad,Male,red,Android,-,Marvel Comics,silver,206,331,1009685,88,83,42,100,100,64,477
665,Utgard-Loki,bad,Male,blue,Frost Giant,White,Marvel Comics,-,15.2,58,1011892,50,80,23,84,72,64,373
666,Vagabond,good,Female,blue,-,Strawberry Blond,Marvel Comics,-,168,54,1011893,1,1,1,1,0,1,5
667,Valerie Hart,good,Female,hazel,-,Black,Team Epic TV,-,175,56,1011894,1,1,1,1,0,1,5
668,Valkyrie,good,Female,blue,-,Blond,Marvel Comics,-,191,214,1011895,1,1,1,1,0,1,5
669,Vanisher,bad,Male,green,-,No Hair,Marvel Comics,-,165,79,1011896,63,10,75,56,39,42,285
670,Vegeta,bad,Male,-,Saiyan,Black,Shueisha,-,168,73,1011897,-,-,-,-,-,-,-
671,Venom,bad,Male,blue,Symbiote,Strawberry Blond,Marvel Comics,-,191,117,1011898,75,57,65,84,79,84,444
672,Venom II,bad,Male,brown,-,Black,Marvel Comics,-,175,50,1011899,50,57,47,70,54,56,334
673,Venom III,bad,Male,brown,Symbiote,Brown,Marvel Comics,-,229,334,1011900,63,73,35,90,66,56,383
674,Venompool,-,Male,-,Symbiote,-,Marvel Comics,-,226,-99,1011901,-,-,-,-,-,-,-
675,Vertigo II,good,Female,blue,-,Silver,Marvel Comics,-,168,52,1011902,1,1,1,1,0,1,5
676,Vibe,good,Male,brown,Human,Black,DC Comics,-,178,71,1011903,-,-,-,-,-,-,-
677,Vindicator,good,Female,green,Human,Red,Marvel Comics,-,165,54,1009695,1,1,1,1,0,1,5
678,Violator,bad,Male,-,-,-,Image Comics,-,-99,-99,1011904,1,1,1,1,0,1,5
679,Violet Parr,good,Female,violet,Human,Black,Dark Horse Comics,-,137,41,1011905,-,-,-,-,-,-,-
680,Vision,good,Male,gold,Android,No Hair,Marvel Comics,red,191,135,1009697,100,72,54,95,76,70,467
681,Vision II,good,-,red,-,No Hair,Marvel Comics,-,191,135,1011906,1,1,1,1,0,1,5
682,Vixen,good,Female,amber,Human,Black,DC Comics,-,175,63,1011907,-,-,-,-,-,-,-
683,Vulcan,good,Male,black,-,Black,Marvel Comics,-,-99,-99,1011908,1,1,1,1,0,1,5
684,Vulture,bad,Male,brown,Human,No Hair,Marvel Comics,-,180,79,1011909,63,22,47,56,40,56,284
685,Walrus,bad,Male,blue,Human,Black,Marvel Comics,-,183,162,1011910,50,28,8,50,11,20,167
686,War Machine,good,Male,brown,Human,Brown,Marvel Comics,-,185,95,1011911,63,80,63,100,100,85,491
687,Warbird,good,Female,blue,-,Blond,Marvel Comics,-,180,54,1009703,1,1,1,1,0,1,5
688,Warlock,good,Male,red,-,Blond,Marvel Comics,-,188,108,1011912,88,36,79,95,71,95,464
689,Warp,bad,Male,brown,-,Black,DC Comics,-,173,67,1011913,38,10,23,28,63,50,212
690,Warpath,good,Male,brown,Mutant,Black,Marvel Comics,-,218,158,1009705,38,72,47,70,26,84,337
691,Wasp,good,Female,blue,Human,Auburn,Marvel Comics,-,163,50,1009707,63,8,58,52,23,42,246
692,Watcher,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011914,100,80,67,89,100,56,492
693,Weapon XI,bad,Male,-,-,-,Marvel Comics,-,-99,-99,1011915,1,1,1,1,0,1,5
694,White Canary,bad,Female,brown,Human,Black,DC Comics,-,-99,-99,1011916,-,-,-,-,-,-,-
695,White Queen,good,Female,blue,-,Blond,Marvel Comics,-,178,65,1011917,1,1,1,1,0,1,5
696,Wildfire,good,Male,-,-,-,DC Comics,-,-99,-99,1011918,50,32,23,100,77,42,324
697,Winter Soldier,good,Male,brown,Human,Brown,Marvel Comics,-,175,117,1010740,56,32,35,65,60,84,332
698,Wiz Kid,good,-,brown,-,Black,Marvel Comics,-,140,39,1011919,1,1,1,1,0,1,5
699,Wolfsbane,good,Female,green,-,Auburn,Marvel Comics,-,366,473,1009717,38,16,35,42,26,42,199
700,Wolverine,good,Male,blue,Mutant,Black,Marvel Comics,-,160,135,1009718,55,32,38,100,44,100,369
701,Wonder Girl,good,Female,blue,Demi-God,Blond,DC Comics,-,165,51,1011920,75,90,25,80,39,60,369
702,Wonder Man,good,Male,red,-,Black,Marvel Comics,-,188,171,1009719,75,100,53,90,64,64,446
703,Wonder Woman,good,Female,blue,Amazon,Black,DC Comics,-,183,74,1011921,88,100,50,100,42,100,480
704,Wondra,good,Female,-,-,-,Marvel Comics,-,-99,-99,1011922,1,1,1,1,0,1,5
705,Wyatt Wingfoot,good,Male,brown,-,Black,Marvel Comics,-,196,117,1011923,10,10,12,1,1,56,90
706,X-23,good,Female,green,Mutant / Clone,Black,Marvel Comics,-,155,50,1009722,75,24,35,90,27,85,336
707,X-Man,good,Male,blue,-,Brown,Marvel Comics,-,175,61,1009725,88,53,53,95,92,84,465
708,Yellow Claw,bad,Male,blue,-,No Hair,Marvel Comics,-,188,95,1009736,1,1,1,1,0,1,5
709,Yellowjacket,good,Male,blue,Human,Blond,Marvel Comics,-,183,83,1011924,88,10,12,28,12,14,164
710,Yellowjacket II,good,Female,blue,Human,Strawberry Blond,Marvel Comics,-,165,52,1011925,50,10,35,28,31,28,182
711,Ymir,good,Male,white,Frost Giant,No Hair,Marvel Comics,white,304.8,-99,1011926,50,100,27,100,83,28,388
712,Yoda,good,Male,brown,Yoda's species,White,George Lucas,green,66,17,1011927,-,-,-,-,-,-,-
713,Zatanna,good,Female,blue,Human,Black,DC Comics,-,170,57,1011928,75,10,23,28,100,56,292
714,Zoom,bad,Male,red,-,Brown,DC Comics,-,185,81,1011929,50,10,100,28,72,28,288
